Feature,Importance
CustomerID_C3628,0
CustomerID_C3627,0
CustomerID_C3626,0
CustomerID_C3625,0
CustomerID_C3624,0
CustomerID_C3623,0
CustomerID_C3621,0
CustomerID_C3649,0
CustomerID_C3620,0
CustomerID_C3619,0
CustomerID_C3618,0
CustomerID_C3617,0
CustomerID_C3616,0
CustomerID_C3615,0
CustomerID_C3614,0
CustomerID_C3630,0
CustomerID_C3631,0
CustomerID_C3632,0
CustomerID_C3296,0
CustomerID_C3648,0
CustomerID_C3647,0
CustomerID_C3646,0
CustomerID_C3645,0
CustomerID_C3644,0
CustomerID_C3643,0
CustomerID_C3642,0
CustomerID_C3641,0
CustomerID_C3640,0
CustomerID_C3639,0
CustomerID_C3638,0
CustomerID_C3637,0
CustomerID_C3636,0
CustomerID_C3635,0
CustomerID_C3634,0
CustomerID_C3689,0
CustomerID_C3691,0
CustomerID_C3768,0
CustomerID_C3740,0
CustomerID_C3747,0
CustomerID_C3746,0
CustomerID_C3745,0
CustomerID_C3744,0
CustomerID_C3743,0
CustomerID_C3742,0
CustomerID_C3741,0
CustomerID_C3739,0
CustomerID_C3749,0
CustomerID_C3738,0
CustomerID_C3737,0
CustomerID_C3736,0
CustomerID_C3735,0
CustomerID_C3734,0
CustomerID_C3733,0
CustomerID_C3732,0
CustomerID_C3748,0
CustomerID_C3750,0
CustomerID_C3692,0
CustomerID_C3760,0
CustomerID_C3767,0
CustomerID_C3766,0
CustomerID_C3765,0
CustomerID_C3764,0
CustomerID_C3763,0
CustomerID_C3762,0
CustomerID_C3761,0
CustomerID_C3759,0
CustomerID_C3751,0
CustomerID_C3758,0
CustomerID_C3757,0
CustomerID_C3756,0
CustomerID_C3755,0
CustomerID_C3754,0
CustomerID_C3753,0
CustomerID_C3752,0
CustomerID_C3731,0
CustomerID_C3730,0
CustomerID_C3729,0
CustomerID_C3701,0
CustomerID_C3708,0
CustomerID_C3707,0
CustomerID_C3706,0
CustomerID_C3705,0
CustomerID_C3704,0
CustomerID_C3703,0
CustomerID_C3702,0
CustomerID_C3700,0
CustomerID_C3728,0
CustomerID_C3699,0
CustomerID_C3698,0
CustomerID_C3697,0
CustomerID_C3696,0
CustomerID_C3695,0
CustomerID_C3694,0
CustomerID_C3693,0
CustomerID_C3709,0
CustomerID_C3710,0
CustomerID_C3711,0
CustomerID_C3712,0
CustomerID_C3727,0
CustomerID_C3726,0
CustomerID_C3725,0
CustomerID_C3724,0
CustomerID_C3723,0
CustomerID_C3722,0
CustomerID_C3721,0
CustomerID_C3720,0
CustomerID_C3719,0
CustomerID_C3718,0
CustomerID_C3717,0
CustomerID_C3716,0
CustomerID_C3715,0
CustomerID_C3714,0
CustomerID_C3713,0
CustomerID_C3297,0
CustomerID_C3274,0
CustomerID_C3295,0
CustomerID_C2872,0
CustomerID_C2879,0
CustomerID_C2878,0
CustomerID_C2877,0
CustomerID_C2876,0
CustomerID_C2875,0
CustomerID_C2874,0
CustomerID_C2873,0
CustomerID_C2871,0
CustomerID_C2881,0
CustomerID_C2870,0
CustomerID_C2869,0
CustomerID_C2868,0
CustomerID_C2867,0
CustomerID_C2866,0
CustomerID_C2865,0
CustomerID_C2864,0
CustomerID_C2880,0
CustomerID_C2882,0
CustomerID_C2901,0
CustomerID_C2892,0
CustomerID_C2899,0
CustomerID_C2898,0
CustomerID_C2897,0
CustomerID_C2896,0
CustomerID_C2895,0
CustomerID_C2894,0
CustomerID_C2893,0
CustomerID_C2891,0
CustomerID_C2883,0
CustomerID_C2890,0
CustomerID_C2889,0
CustomerID_C2888,0
CustomerID_C2887,0
CustomerID_C2886,0
CustomerID_C2885,0
CustomerID_C2884,0
CustomerID_C2863,0
CustomerID_C2862,0
CustomerID_C2861,0
CustomerID_C2833,0
CustomerID_C2840,0
CustomerID_C2839,0
CustomerID_C2838,0
CustomerID_C2837,0
CustomerID_C2836,0
CustomerID_C2835,0
CustomerID_C2834,0
CustomerID_C2832,0
CustomerID_C2860,0
CustomerID_C2831,0
CustomerID_C2830,0
CustomerID_C2829,0
CustomerID_C2828,0
CustomerID_C2827,0
CustomerID_C2826,0
CustomerID_C2825,0
CustomerID_C2841,0
CustomerID_C2842,0
CustomerID_C2843,0
CustomerID_C2844,0
CustomerID_C2859,0
CustomerID_C2858,0
CustomerID_C2857,0
CustomerID_C2856,0
CustomerID_C2855,0
CustomerID_C2854,0
CustomerID_C2853,0
CustomerID_C2852,0
CustomerID_C2851,0
CustomerID_C2850,0
CustomerID_C2849,0
CustomerID_C2848,0
CustomerID_C2847,0
CustomerID_C2846,0
CustomerID_C2845,0
CustomerID_C2900,0
CustomerID_C2902,0
CustomerID_C2823,0
CustomerID_C2951,0
CustomerID_C2958,0
